"Timestamp","Select gender","Postal zone(e.g Kingston 2) ","Please select your age group","What is your usual craving for Jamaican breakfast?","Which of these popular Jamaican sides would you pair with your breakfast? ","What do you usually order for a light breakfast?","Which meat type do you prefer?","Which of these would you typically order for lunch? ","And what side dish would you choose to go with that? ","Which of these cooking styles or flavors do you enjoy the most in your meals? ","Which of these popular Jamaican Juices would you choose with your lunch? ","What drink would you most likely order with your lunch? ","Which of these smoothie combinations sounds most refreshing to you?"
"2025/03/25 3:49:54 PM EST","Female","Kingston 10","Yound Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Bammy;Breadfruit;Festival","Sandwich","Chicken;Fish;Goat","Jerk Chicken","Rice and Peas;Mashed potatoes;Raw vegetables salad;Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Guava pineapple Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 3:54:09 PM EST","Female","","Yound Adult (20 - 29)","Beans and sausage","Fry Dumpling;Breadfruit;Fritters;Festival","Porridge;Bacon;Scrambled Eggs;Sandwich;Sausage;Fruits","Chicken;Beef","Fry Chicken","Rice and Peas;Alfredo pasta;Mashed potatoes;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice;Orange Juice","Box drink","Fruits (with milk)"
"2025/03/25 3:58:02 PM EST","Female","","Teenager (12 - 19)","Egg","Fry Dumpling;Breadfruit;Fritters","Sandwich;Fruits","Beef","Fry Chicken","Coco Bread;Alfredo pasta;Macaroni salad","Chinese (eg. stir fries)","Juneplum Juice","Tropical Rythm","Fruits (with milk)"
"2025/03/25 4:00:06 PM EST","Female","Kingston 20","Youn Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Boiled Dumpling;Breadfruit","Porridge;Waffles;Sandwich","Beef","Barbe-Fry Chicken","Rice and Peas;Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 4:00:31 PM EST","Female","","Teenager (12 - 19)","Beans and sausage","Fry Dumpling;Fritters","Sandwich","Chicken","Fry Chicken","Rice and Peas;Macaroni salad","Chinese (eg. stir fries)","Guava pineapple Juice;Orange Juice","Soft drink","Fruits (with milk)"
"2025/03/25 4:02:36 PM EST","Female","","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Boiled Dumpling;Breadfruit;Fritters","Pancakes;French Toast;Waffles;Scrambled Eggs;Sandwich;Sausage","Chicken;Fish;Goat","Fry Chicken","Rice and Peas;White Rice;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice;Orange Juice","Soft drink","Fruits (no milk)"
"2025/03/25 4:06:02 PM EST","Male","Kingston 3","Young Adult (20 - 29)","Liver","Fry Dumpling","Waffles;Scrambled Eggs;Fruits","Chicken;Fish;Goat;Beef","Fry Chicken","Rice and Peas;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Tropicana","Fruits (no milk)"
"2025/03/25 4:08:20 PM EST","Female","","Young Adult (20 - 29)","Callaloo","Boiled Dumpling","Pancakes","Chicken","Fry Chicken","Rice and Peas","Indian (eg. curry)","Orange Juice","Tropical Rythm","Fruits (no milk)"
"2025/03/25 4:10:35 PM EST","Female","Kingston 6","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling","Scrambled Eggs;Sandwich","Chicken","Barbe-Fry Chicken","Rice and Peas","Indian (eg. curry)","Pine & ginger Juice","Soft drink","Fruits (no milk)"
"2025/03/25 4:15:03 PM EST","Female","Spanish Town","Teenager (12 - 19)","Ackee & Saltfish","Fry Dumpling","Porridge;Scrambled Eggs;Fruits","Chicken","Barbe-Fry Chicken","Rice and Peas;Macaroni salad","Chinese (eg. stir fries)","Juneplum Juice;Orange Juice","Cran Wata","Fruits (with milk)"
"2025/03/25 4:18:21 PM EST","Female","Kingston 8","Young Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit;Festival","Porridge;Scrambled Eggs;Sandwich","Chicken;Fish","Barbe-Fry Chicken","Rice and Peas;Raw vegetables salad;Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Callaloo Juice;Juneplum Juice;Beetroot Juice;Orange Juice","Water","Banana, oats, nutmegs, almond milk"
"2025/03/25 4:20:15 PM EST","Female","","Young Adult (20 - 29)","Liver","Fry Dumpling;Boiled Dumpling;Fritters;Festival","Pancakes;Waffles;Scrambled Eggs;Sandwich","Chicken;Pork;Beef","Patty","Coco Bread;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Guava pineapple Juice","Cran Wata","Fruits (with milk)"
"2025/03/25 4:20:45 PM EST","Male","Westmoreland 5","Teenager (12 - 19)","Ackee & Saltfish","Fry Dumpling;Fritters","Scrambled Eggs;Sandwich","Chicken;Pork","Fry Chicken","Rice and Peas;Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice;Orange Juice","Soft drink","Banana, oats, nutmegs, almond milk"
"2025/03/25 4:21:37 PM EST","Female","JMCAN19","Teenager (12 - 19)","Egg","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Bammy;Breadfruit;Hashbrown;Festival","Porridge;Fruits","Chicken;Pork","Fry Chicken","Rice and Peas;Fries;Raw vegetables salad;Festival","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Wata","Fruits (with milk)"
"2025/03/25 4:21:46 PM EST","Female","Kingston 7","Teenager (12 - 19)","Egg","Fry Dumpling;Breadfruit;Hashbrown;Festival","Pancakes;Sandwich","Chicken;Fish","Fry Chicken","Rice and Peas;Macaroni salad","Chinese (eg. stir fries)","Orange Juice","Water","Fruits (no milk)"
"2025/03/25 4:22:12 PM EST","Female","","Teenager (12 - 19)","Ackee & Saltfish","Boiled Dumpling","Porridge;Sandwich;Sausage","Chicken;Goat","Barbe-Fry Chicken","Rice and Peas;Coco Bread;Festival","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice","Sparkling Cran Wata","Banana, oats, nutmegs, almond milk"
"2025/03/25 4:23:07 PM EST","Male","St Mary ","Young Adult (20 - 29)","Stew chicken ","Yam","Scrambled Eggs","Chicken;Pork","Fry Chicken","Rice and Peas;Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Soft drink","Fruits (no milk)"
"2025/03/25 4:25:48 PM EST","Male","Kingston 7","Young Adult (20 - 29)","Egg","waffles","Porridge;Pancakes;Bacon;Scrambled Eggs;fritters ","Chicken;Pork;Goat","Fry Chicken","Rice and Peas;Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Juneplum Juice;Beetroot Juice","Tropical Rythm","Fruits (no milk)"
"2025/03/25 4:26:20 PM EST","Female","Kingston 20","Teenager (12 - 19)","Stew Chicken and Fried Dumpling","Fry Dumpling","Fruits","Chicken;Fish;Goat;Beef","Barbe-Fry Chicken","Rice and Peas;Festival","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice","Water","Fruits (no milk)"
"2025/03/25 4:26:49 PM EST","Female","Kingston 7","Young Adult (20 - 29)","Egg","Hashbrown","Scrambled Eggs","Chicken","Sandwich/Burger","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Tropicana","Fruits (with milk)"
"2025/03/25 4:29:30 PM EST","Female","Kingston ","Teenager (12 - 19)","Ackee & Saltfish","Fry Dumpling;Plantain ","Porridge","Beef","Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Tropical Rythm","Fruits (no milk)"
"2025/03/25 4:29:53 PM EST","Male","Kingston 2","Young Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit;Festival","Porridge;Pancakes;French Toast;Waffles;Bacon;Scrambled Eggs;Sandwich","Chicken;Beef","Barbe-Fry Chicken","Rice and Peas;White Rice;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Juneplum Juice;Guava pineapple Juice;Orange Juice","Tropical Rythm","Banana, oats, nutmegs, almond milk"
"2025/03/25 4:31:36 PM EST","Female","Kingston 7","Young Adult (20 - 29)","Cooked-up Saltfish","Fry Dumpling","Fruits","Chicken","Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 4:35:52 PM EST","Female","K7","Young Adult (20 - 29)","Not Jamaican, I crave sada roti","Hashbrown;Festival","Porridge;Pancakes;Waffles;Bacon;Sandwich;Fruits;Cereal and milk","Chicken;Shrimp","Sandwich/Burger","Alfredo pasta;Mashed potatoes;Fries;Macaroni salad;Festival","Italian- cheese, bread dough, pasta","Guava pineapple Juice","Water","Banana, oats, nutmegs, almond milk"
"2025/03/25 4:36:08 PM EST","Male","Portmore","Millenials (30 - 44)","Egg","Ground Provision/ Soul Food","Scrambled Eggs;Sausage","Chicken;Fish","Bake Chicken","Mashed potatoes;Raw vegetables salad","Vegan/Ital/Rastafarian (eg. Tofu, Veggie chunks, lentils)","Juneplum Juice","Water","Banana, oats, nutmegs, almond milk"
"2025/03/25 4:40:49 PM EST","Male","Kingston 7","Young Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit;Fritters;Festival","Sandwich;Fruits","Chicken;Fish;Pork;Goat;Beef","Patty","Coco Bread","Chinese (eg. stir fries)","Pine & ginger Juice;Juneplum Juice;Guava pineapple Juice;Beetroot Juice;Orange Juice","Water","Fruits (no milk)"
"2025/03/25 4:45:24 PM EST","Female","Kingston 10","Young Adult (20 - 29)","Cabbage","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit;Fritters","Porridge;Waffles;Scrambled Eggs;Fruits","Chicken;Goat;Beef","Bake Chicken","Rice and Peas;Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice","Tropical Rythm","Fruits (no milk)"
"2025/03/25 4:48:24 PM EST","Male","","Young Adult (20 - 29)","Beans and sausage","Fry Dumpling;Breadfruit;Fritters","Sandwich","Chicken;Beef","Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 4:48:26 PM EST","Male","","Young Adult (20 - 29)","Ackee & Saltfish","","Porridge;Scrambled Eggs;Sandwich;Fruits","Chicken;Fish","Fry Chicken","Rice and Peas;Mashed potatoes;Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice","Tropicana","Fruits (no milk)"
"2025/03/25 4:53:43 PM EST","Female","Kingston 6","Young Adult (20 - 29)","Cooked-up Saltfish","Boiled Dumpling;Bammy","Porridge;Sandwich","Chicken;Pork;Beef","Fry Chicken","Rice and Peas;Fries;Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Guava pineapple Juice;Orange Juice","Soft drink","Fruits (no milk)"
"2025/03/25 4:58:58 PM EST","Female","Kingston 2","Young Adult (20 - 29)","Kidney","Ground Provision/ Soul Food;Boiled Dumpling","Bacon;Scrambled Eggs","Chicken;Beef","Fry Chicken","Rice and Peas;Mashed potatoes;Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Soft drink","Fruits (no milk)"
"2025/03/25 5:02:43 PM EST","Male","","Young Adult (20 - 29)","Egg","Pancakes","Pancakes","Chicken","Bake Chicken","Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice","Tropicana","Fruits (no milk)"
"2025/03/25 5:37:47 PM EST","Female","","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Bammy;Festival","Waffles;Bacon;Scrambled Eggs;Sausage;Fruits","Chicken;Fish","Sandwich/Burger","Rice and Peas;Alfredo pasta","Indian (eg. curry)","Juneplum Juice","Tropical Rythm","Fruits except banana without milk "
"2025/03/25 6:01:59 PM EST","Female","","Young Adult (20 - 29)","Egg","Fry Dumpling","Porridge","Fish;Beef","Barbe-Fry Chicken","Rice and Peas;Alfredo pasta","Indian (eg. curry)","Pine & ginger Juice","Soft drink","Banana, oats, nutmegs, almond milk"
"2025/03/25 6:07:24 PM EST","Female","Kingston 7","Young Adult (20 - 29)","Egg","Hashbrown","Pancakes;French Toast;Waffles;Bacon;Scrambled Eggs;Sandwich;Sausage;Fruits","Chicken;Beef","Jerk Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Soft drink","Banana, oats, nutmegs, almond milk"
"2025/03/25 6:14:10 PM EST","Female","Kingston 7","Teenager (12 - 19)","Egg","Festival","Pancakes","Chicken","Fry Chicken","Coco Bread;Fries","Chinese (eg. stir fries)","Orange Juice","Squeeze","Fruits (no milk)"
"2025/03/25 6:45:00 PM EST","Female","Kingston 2","Young Adult (20 - 29)","Ackee & Saltfish","Breadfruit","French Toast;Bacon;Scrambled Eggs","Chicken;Fish","Sandwich/Burger","Fries","Chinese (eg. stir fries)","Pine & ginger Juice;Juneplum Juice;Orange Juice","Soft drink","Fruits (no milk)"
"2025/03/25 6:51:10 PM EST","Female","Kingston 6","Young Adult (20 - 29)","Egg","Bread","French Toast;Scrambled Eggs;Sausage","Chicken;Beef","Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Cran Wata","Banana, oats, nutmegs, almond milk"
"2025/03/25 6:55:02 PM EST","Female","Kingston 10","Teenager (12 - 19)","I don’t really have breakfast, but when I do, it’s mainly an egg sandwich.","Ground Provision/ Soul Food;Fry Dumpling;Bammy;Breadfruit;Fritters;Hashbrown","Porridge;Bacon;Scrambled Eggs;Sandwich;Sausage","Chicken;Pork;Beef","Barbe-Fry Chicken","Rice and Peas;Raw vegetables salad","Chinese (eg. stir fries)","Juneplum Juice;Guava pineapple Juice","Water","Fruits (no milk)"
"2025/03/25 6:59:12 PM EST","Female","Kingston 12","Young Adult (20 - 29)","Beans and sausage","Fry Dumpling;Festival","Porridge;Sandwich;Fruits","Chicken","Bake Chicken","Rice and Peas;Alfredo pasta","Indian (eg. curry)","Juneplum Juice","Cran Wata","Fruits (with milk)"
"2025/03/25 7:00:34 PM EST","Female","Kingston 8","Young Adult (20 - 29)","Beans and sausage","Fry Dumpling;Bammy;Breadfruit;Festival","Porridge;Pancakes;Waffles;Sandwich;Fruits","Chicken;Fish;Pork;Beef","Barbe-Fry Chicken","Rice and Peas;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice;Beetroot Juice;Orange Juice","Cran Wata","Spinach, Skim Milk, Chia Seeds"
"2025/03/25 7:03:08 PM EST","Female","","Teenager (12 - 19)","Ackee & Saltfish","Boiled Dumpling;Breadfruit","Porridge;Sandwich;Fruits","Chicken;Pork;Goat;Beef","Sandwich/Burger","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Juneplum Juice;Orange Juice","Water","Fruits (with milk)"
"2025/03/25 7:05:42 PM EST","Female","kingston 7","Young Adult (20 - 29)","na","Fry Dumpling;Breadfruit;Fritters;Festival","Scrambled Eggs;Sandwich;Sausage;Fruits","Chicken;Beef","Barbe-Fry Chicken","Mashed potatoes;Fries;Raw vegetables salad;Macaroni salad","Chinese (eg. stir fries)","Juneplum Juice","Cran Wata","Banana, oats, nutmegs, almond milk"
"2025/03/25 7:08:39 PM EST","Female","Kingston 8","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Breadfruit;Festival","Porridge;Sandwich","Chicken;Pork","Patty","Coco Bread","Chinese (eg. stir fries)","Guava pineapple Juice","Soft drink","Fruits (no milk)"
"2025/03/25 7:10:59 PM EST","Female","Kingston 7","Teenager (12 - 19)","Ackee & Saltfish","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit","Bacon;Sandwich","Chicken;Fish","Fry Chicken","Mashed potatoes;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Guava pineapple Juice;Beetroot Juice","Tropicana","Fruits (with milk)"
"2025/03/25 7:25:24 PM EST","Female","Kingston 11","Teenager (12 - 19)","Callaloo","Fry Dumpling","Sandwich","Chicken;Fish;Goat;Beef","Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Guava pineapple Juice;Orange Juice","Soft drink","Banana, oats, nutmegs, almond milk"
"2025/03/25 7:27:39 PM EST","Female","Kingston 20","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Boiled Dumpling","Porridge","Chicken","Barbe-Fry Chicken","Rice and Peas;Mashed potatoes;Macaroni salad","Indian (eg. curry)","Pine & ginger Juice;Juneplum Juice;Orange Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 7:28:18 PM EST","Female","Kingston 3","Young Adult (20 - 29)","Cooked-up Saltfish","Fritters","Scrambled Eggs","Chicken","Barbe-Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Water","Water","Fruits (no milk)"
"2025/03/25 7:31:34 PM EST","Male","Kingston 10","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Boiled Dumpling;Breadfruit","Pancakes;Sandwich","Chicken;Pork;Goat","Stew Pork","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Soft drink","Banana, oats, nutmegs, almond milk"
"2025/03/25 7:33:56 PM EST","Female","Kingston 2","Young Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit;Festival","Porridge;Scrambled Eggs;Sandwich;Fruits","Chicken","Fry Chicken","Rice and Peas;White Rice;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice;Orange Juice;Its not allowing me to select pine and ginger so I'm writing it here","Tropicana","Fruits (no milk)"
"2025/03/25 7:34:06 PM EST","Female","Kingston 3","Young Adult (20 - 29)","Egg","Bread","Sandwich","Chicken","Barbe-Fry Chicken","Rice and Peas;Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice","Fresshh Orange Juice","Fruits (with milk)"
"2025/03/25 7:35:16 PM EST","Female","Kingston 6","Young Adult (20 - 29)","Egg, Plantain and Sausage ","Fry Dumpling;Breadfruit;Fritters;Festival","Porridge;Pancakes;Bacon;Scrambled Eggs;Sandwich;Sausage;Fruits","Chicken;Pork;Beef","Barbe-Fry Chicken","Rice and Peas;White Rice;Fries;Macaroni salad;Festival","Chinese (eg. stir fries)","Lemon and Lime Juice","Water","Fruits (no milk)"
"2025/03/25 7:39:59 PM EST","Female","Kingston 10","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Breadfruit;Fritters","Porridge","Fish","Barbe-Fry Chicken","Rice and Peas;Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Juneplum Juice;Guava pineapple Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 8:16:30 PM EST","Female","","Young Adult (20 - 29)","Stew chicken","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit;Fritters;Festival","Porridge;Sandwich;Fruits","Chicken;Goat","Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice;Guava pineapple Juice","Schweppes","Fruits (no milk)"
"2025/03/25 8:20:50 PM EST","Female","Kingston 5","Young Adult (20 - 29)","Beans and sausage","Fritters","Porridge","Chicken","Fry Chicken","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 8:24:21 PM EST","Female","Kingston 12","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Fritters;Hashbrown","French Toast;Waffles;Bacon;Scrambled Eggs;Sandwich;Fruits","Chicken","Bake Chicken","Rice and Peas;Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Juneplum Juice;Orange Juice","Soft drink","Fruits (no milk)"
"2025/03/25 8:24:48 PM EST","Female","Kingston 3","Young Adult (20 - 29)","Beans and sausage","Hashbrown","Fruits","Chicken","Pizza","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Juneplum Juice","Soft drink","Fruits (no milk)"
"2025/03/25 8:26:49 PM EST","Female","Greater Portmore ","Teenager (12 - 19)","Egg","Fry Dumpling;Bammy;Breadfruit;Fritters;Hashbrown;Festival","Bacon;Scrambled Eggs;Sandwich;Sausage","Chicken","Patty","Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice","Cran Wata","Fruits (no milk)"
"2025/03/25 8:28:34 PM EST","Female","Kingston 7","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Boiled Dumpling;Bammy;Breadfruit;Fritters","Scrambled Eggs;Sandwich;Sausage;Fruits","Chicken","Patty","Coco Bread","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice;Guava pineapple Juice;Orange Juice","Soft drink","Banana, oats, nutmegs, almond milk"
"2025/03/25 8:42:15 PM EST","Female","Kingston 6","Young Adult (20 - 29)","Ackee & Saltfish","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit;Fritters","Porridge;Pancakes;Sandwich","Chicken","Bake Chicken","Rice and Peas;Mashed potatoes","Indian (eg. curry)","Juneplum Juice","Sparkling Cran Wata","Fruits (no milk)"
"2025/03/25 8:52:33 PM EST","Male","Greater Portmore","Young Adult (20 - 29)","Egg","Breadfruit","Scrambled Eggs;Sausage","Chicken;Pork","Jerk Chicken","Rice and Peas;Fries","Chinese (eg. stir fries)","Pine & ginger Juice;Guava pineapple Juice;Orange Juice","water","Banana, oats, nutmegs, almond milk"
"2025/03/25 9:31:03 PM EST","Female","","Young Adult (20 - 29)","Beans and sausage","Fry Dumpling;Bammy;Breadfruit","French Toast;Waffles;Scrambled Eggs;Sausage","Chicken;Pork;Goat;Beef","Fry Chicken","Rice and Peas;Raw vegetables salad;Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Guava pineapple Juice","Tropicana","Fruits (no milk)"
"2025/03/25 9:39:25 PM EST","Female","Kingston 19","Young Adult (20 - 29)","Callaloo","Ground Provision/ Soul Food;Fry Dumpling;Boiled Dumpling;Breadfruit","Pancakes","Chicken;Fish","Fry Chicken","Rice and Peas","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice","Water ","Fruits (no milk)"
"2025/03/25 10:28:27 PM EST","Female","Kingston ","Teenager (12 - 19)","Ackee & Saltfish","Fry Dumpling;Fritters","Pancakes;Bacon","Chicken","Sandwich/Burger","Rice and Peas;White Rice;Alfredo pasta;Fries","Indian (eg. curry)","Orange Juice","Soft drink","Fruits (with milk)"
"2025/03/25 10:34:51 PM EST","Female","","Young Adult (20 - 29)","Ackee & Saltfish","Fry Dumpling;Bammy;Fritters","Pancakes;Sandwich","Chicken","Sandwich/Burger","Coco Bread;White Rice;Raw vegetables salad;Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice;Guava pineapple Juice;Orange Juice","Soft drink","Fruits (with milk)"
